"","g__Turicibacter","g__Parabacteroides","g__[Ruminococcus]","g__Sutterella","f__Peptostreptococcaceae_g__","g__Ruminococcus","g__Veillonella","g__Bacteroides","g__Eggerthella","g__Faecalibacterium","g__Coprococcus","f__Lachnospiraceae_g__","g__Neisseria","g__Haemophilus","g__Blautia","f__Enterobacteriaceae_g__","g__Klebsiella","g__Dorea","g__Dialister","g__Anaerostipes","g__Phascolarctobacterium","g__Staphylococcus","g__Actinomyces","f__Gemellaceae_g__","g__Akkermansia","g__Oscillospira","o__Lactobacillales_g__","g__Adlercreutzia","g__Odoribacter","f__Clostridiaceae_g__","g__Prevotella","g__Roseburia","g__Lachnospira","o__Clostridiales_g__","g__Granulicatella","f__Erysipelotrichaceae_g__","f__Ruminococcaceae_g__","g__Clostridium","g__Streptococcus","g__Aggregatibacter","g__Fusobacterium","g__Conchiformibius","g__Bifidobacterium","g__Collinsella","g__Holdemania","g__[Eubacterium]","f__Rikenellaceae_g__","g__Bilophila"
"1939.100101",126,3,1606,33,189,2352,21,12088,148,6844,168,4522,0,64,8075,3,0,1375,4046,62,1,0,31,8,2,874,0,1075,0,74,1,3583,99,2352,25,1019,2332,61,5109,0,0,0,227,338,220,390,5,0
"1939.100102",110,1,3900,1,1600,1317,2,28,531,5,316,3118,0,1,3861,419,1,600,1254,1,0,1,12,2,1,3141,0,626,0,982,1,12,1685,1009,0,599,2808,1,1086,0,0,0,6207,4,294,871,2,0
"1939.100107",1,498,139,267,546,1490,29,9861,32,6198,425,3301,0,1146,2770,19,0,72,1,472,0,0,5,2,0,611,0,36,105,372,0,346,68,5361,0,1521,4330,204,66,487,0,0,1775,2157,39,30,1497,45
"1939.SKBTI.0749",0,151,43,679,0,8,53,2507,0,590,10,120,0,286,0,295,1,21,202,0,0,0,0,11,0,179,1,0,127,1,2,0,0,54,3,1,124,1,11,8,81,0,0,6,0,1,51,0
"1939.SKBTI.0674",1,4,132,1322,0,1,333,16072,0,1712,0,355,0,2699,20,6798,20,3,14,0,0,26,0,6,0,9,5,0,0,35,24,4,3,283,1,112,204,0,22,10,214,8,5,0,0,4,2,9
"1939.100115",2,0,11399,1,2,104,11,10,0,7,3,5712,0,48,14,8458,1,599,3,0,1,0,9,8,0,2296,1,0,0,1,2,4,1,10,20,164,6,1,69,0,1,0,6,0,0,45,4,1
"1939.MGH105693",0,702,1252,188,0,89,2,4152,5,191,22,662,0,1,157,0,0,10,0,0,82,0,1,12,0,51,0,2,17,0,0,44,7,103,2,2,123,1,5,1,0,0,4,0,77,5,18,8
"1939.SKBTI.0704",0,5203,4244,4234,461,0,502,21346,6,20,0,3369,4,724,1021,8921,0,4,6,0,0,0,6,21,0,611,3,0,376,277,19,354,0,282,10,225,1970,0,252,22,8,0,60,0,0,472,365,1
"1939.SKBTI.0706",0,0,7,1,4,0,153,6,0,1,0,1,0,3806,0,798,1220,0,0,0,0,0,10,5,0,0,36,0,0,7,2,0,0,1,0,0,140,27,49,190,0,68,0,0,0,0,0,0
"1939.SKBTI.0710",0,37,31,116,0,0,93,2766,0,263,1,52,159,3709,0,29,0,0,5,0,0,0,4,42,10,4,1,0,5,6,13,0,0,3,24,31,2,2,133,462,994,26,0,0,0,0,5,28
"1939.SKBTI.0734",0,421,292,1259,10,65,1,4552,4,567,8,592,1,149,186,7,0,4,454,0,0,0,2,0,0,238,0,0,94,6,3,94,0,648,3,59,533,0,9,1,0,0,6,0,29,0,285,147
"1939.SKBTI.0741",0,504,386,1438,0,1,165,4925,5,2180,26,1647,18,685,8,137,0,77,3,0,0,0,0,2,0,113,0,0,61,4,6,1,0,153,5,65,226,0,28,103,290,2,2,0,0,3,4,187
"1939.SKBTI.0675",1,13,694,32,6,1,24,15299,7,8,0,539,12,389,36,1378,22,121,117,0,0,0,11,7,0,98,3,0,0,21,22,0,0,47,35,43,55,0,41,115,556,6,1,0,0,100,1,0
"1939.SKBTI.0676",0,616,293,1142,6,7,41,8345,4,4273,61,874,3,521,81,358,0,41,608,1,41,0,0,3,598,32,7,0,0,16,14,6,0,350,6,165,891,0,28,70,48,0,7,23,5,5,839,555
"1939.SKBTI.0298",0,759,594,1952,177,1637,23,19676,0,4302,0,2586,2,27,1181,73,1,2,29,0,958,4,5,7,2,577,0,0,660,37,0,1427,41,199,16,757,2996,4,33,1,8,0,0,1,107,168,3082,384
"1939.SKBTI.0311",0,1153,127,1401,27,212,232,11426,9,7762,47,1867,77,7272,108,33,0,384,51,11,0,0,6,14,5955,495,0,0,205,6,0,65,10,681,37,54,375,11,200,4172,188,2,5,0,12,24,2583,1
"1939.SKBTI.0869",0,963,414,2006,0,2,47,23453,7,1405,9,1415,132,1058,160,1575,9,24,13,0,624,1,13,46,2,3,0,0,2,6,1390,16,0,98,10,67,75,0,70,114,132,1,14,0,0,0,4,287
"1939.SKBTI.0870",1,1846,395,1256,50,58,33,15001,2,4392,165,1916,8,270,640,1,0,343,208,0,0,9,0,0,0,234,0,5,0,17,0,322,91,1196,0,217,1732,29,42,23,8,0,19,42,25,1,596,0
"1939.SKBTI.0876",0,1,1225,2745,94,44,146,17020,4,7559,76,5013,25,2198,889,1713,2,277,4907,1,0,0,12,10,0,650,0,0,0,39,0,1224,55,1175,8,475,1185,24,158,119,99,0,13,0,0,122,1,1902
"1939.SKBTI.0866",0,261,488,1201,0,18,246,6768,0,3015,146,993,39,134,0,113,5,1,108,0,0,1,2,13,1,285,0,0,0,0,0,0,0,111,1,163,270,0,12,23,17,0,58,8,0,1,2,0
"1939.SKBTI.0871",4,82,227,1910,0,0,92,22064,166,6095,2,2724,101,450,2,839,2,456,8,0,0,1,4,34,1150,34,1,0,0,0,3,0,0,205,7,187,266,1,38,85,462,160,2,0,0,3,7,2
"1939.SKBTI.0888",0,976,546,1,94,20,41,16108,15,6522,108,3383,48,586,342,16,6,105,1236,0,0,0,3,17,1,199,1,2,117,40,1,71,20,1846,5,800,1890,3,35,62,25,0,90,0,38,67,22,2
"1939.SKBTI.0912",0,17,177,411,94,1031,50,14923,0,1515,130,4345,115,148,144,46,3,47,394,6,2,4,12,43,1,156,0,4,0,36,46,325,4,1036,7,175,828,0,59,27,54,4,19,8,7,88,448,2
"1939.SKBTI.0913",0,0,0,1837,0,0,3,9,0,0,0,3,9,18,0,19764,11,0,0,0,0,1,0,2,0,0,600,0,0,0,0,0,0,1,0,0,0,0,5,4,1,0,3,0,0,0,0,0
"1939.SKBTI.0916",0,2,4,839,0,0,164,10155,0,980,0,214,3,1740,2,4626,20,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,215,1,19,96,0,11,6,180,1,0,0,0,0,0,8
"1939.SKBTI.0933",0,3,3,43,0,0,167,11327,0,897,77,877,5,597,0,3,1069,6,0,0,0,17,12,113,0,2,73,0,0,0,1,0,0,2,18,222,108,0,44,70,31,0,4,0,0,0,0,3
"1939.SKBTI.0919",0,6,1574,6,0,5,583,8820,8,36,4,328,10,798,32,6380,0,24,1,0,0,0,1,4,4,2,7,0,0,0,4,7,1277,86,8,189,11,63,178,8,141,0,58,0,0,52,1,0
"1939.SKBTI.0928",0,1496,174,130,0,14,206,17973,2,5843,38,2172,102,194,75,415,13,44,62,0,0,1,6,27,3,403,1,0,114,1,3145,3,1,389,8,321,989,1,41,37,750,2,355,28,132,6,155,1067
"1939.SKBTI.0929",0,3383,11,2935,0,1,71,11435,1,1680,2,619,65,958,1,581,870,0,4,0,28,0,9,18,0,2,1,0,50,250,3,1,0,27,9,2,271,32,27,18,548,26,7,0,0,0,3,6
"1939.SKBTI.0939",0,140,1,3,0,2,380,11576,0,1438,0,462,30,1467,0,4037,8,3,34,0,1,0,3,19,0,17,0,0,0,0,0,0,0,10,2,11,244,0,16,13,7758,0,0,0,0,0,11,1
"1939.SKBTI.0954",0,20,343,229,0,1,204,5620,0,1757,18,1411,21,16234,34,11,0,7,1,0,0,0,1,8,0,0,0,0,0,2,0,0,1,110,21,81,261,0,156,188,160,21,7,0,0,0,5,0
"1939.SKBTI.0934",1,250,229,4067,3,3,290,12940,20,10399,5,4746,122,3736,11,2675,8,1000,718,0,0,1,7,30,2,335,0,0,0,99,0,147,1,437,5,610,792,103,57,969,876,105,24,0,0,7,3,1039
"1939.SKBTI.0936",9,4474,1228,6054,277,3679,107,27939,10,8083,439,7971,142,195,2643,83,5,272,8,18,3,0,10,45,0,1350,0,0,1,124,7,681,595,1399,6,1517,6457,170,99,33,77,3,5,0,92,320,4345,3
"1939.SKBTI.0940",0,943,173,1007,0,232,7,13234,7,4366,121,1535,4,10,173,854,2,84,718,0,0,1,1,2,3388,469,0,0,389,0,0,17,4,450,3,120,901,3,8,3,25,1,23,0,7,13,2458,123
"1939.SKBTI.0942",0,1633,211,1785,7,93,137,10951,17,7133,35,1948,2,151,212,3,0,31,438,0,1,0,3,3,0,211,0,0,174,2,0,750,106,787,2,193,758,1,48,1,21,0,244,0,28,26,961,1
"1939.SKBTI.0951",0,3,690,1432,0,7,59,19117,7,2552,192,1657,18,1091,79,839,2,119,39,0,0,0,1,17,0,306,0,0,0,0,1,87,14,211,1,241,520,4,9,230,1621,502,15,5,0,1,485,1428
"1939.SKBTI.0953",0,6356,309,1665,0,62,15,23619,79,15,13,4345,26,324,108,715,0,133,98,0,0,0,1,11,4,240,0,0,0,1,0,3,0,737,6,302,558,10,24,3,7,2,15,0,33,58,2121,3
"1939.SKBTI.0956",0,4,1531,132,0,19,45,10668,5,12612,381,6856,72,893,608,4862,0,135,0,4,1010,4,8,33,3,73,1,0,1,0,3,1255,16,7559,6,1252,2031,0,57,243,152,24,0,0,11,52,735,0
"1939.122059",0,1490,275,0,6,86,0,2716,30,2449,187,693,0,0,907,0,0,16,0,0,123,0,0,0,355,222,0,48,0,44,0,652,187,749,1,164,574,51,59,0,0,0,210,5,0,31,363,0
"1939.122072",56,1,1310,1,2928,444,5,295,3,1000,668,801,0,276,3145,3,0,60,0,0,0,3,19,15,0,9,11,1,0,1930,0,25,0,800,33,4,370,57,925,18,0,0,2842,0,18,5,0,13
"1939.122032",0,825,408,1042,343,51,11,9952,23,3862,582,5321,0,47,470,11,8,375,89,15,462,0,3,67,0,870,0,0,0,35,1,18,713,675,0,1222,858,13,102,0,12,0,161,8,49,18,487,0
"1939.122007",3,526,1434,20,163,41,0,1050,140,0,108,1060,0,0,1316,0,0,18,620,0,0,10,7,4,0,333,0,0,3,56,0,88,0,2733,1,436,122,0,216,0,0,0,1555,0,30,93,340,55
"1939.122038",3,121,1303,1378,274,168,5,3185,1,843,749,1705,0,32,2209,34,0,167,0,29,431,0,1,3,2009,231,0,85,55,18,2,253,178,925,3,1077,3112,136,69,0,0,0,121,218,35,24,607,263
"1939.122117.a",0,74,518,220,267,11,101,550,34,1292,157,602,0,10,1043,9,1,643,2178,0,0,0,10,12,0,49,0,0,0,16,489,50,0,190,15,61,128,0,2992,0,0,0,509,0,0,90,1,0
"1939.122096.a",3,50,367,43,145,3,37,218,2,46,502,531,0,3,500,0,0,364,404,0,0,0,4,0,0,4,0,0,0,71,784,64,0,233,7,4,18,2,2287,0,0,0,960,0,0,19,1,0
"1939.122004.a",59,0,1475,0,231,262,0,47,84,0,196,437,0,0,4572,501,0,277,1362,0,0,0,5,10,0,5,316,0,0,68,0,266,0,278,4,761,373,117,467,0,0,0,0,0,0,1036,0,0
"1939.SKBTI.0958",0,2253,10,4850,0,0,345,13835,0,3,0,10,47,296,3,622,3,0,1,0,5,1,2,7,2,0,46,0,0,0,1,1,0,4,2,360,411,332,15,11,231,30,33,0,0,0,1,7
"1939.122077",2,715,1295,687,1,121,5,9914,99,388,207,3090,0,4,1484,0,0,220,0,3,0,3,0,1,0,551,0,159,96,1,0,0,202,126,1,561,489,1,49,1,0,0,0,0,80,193,0,0
"1939.122119.a",3,1,1738,1,477,11,9,17,30,1136,298,590,0,1,1182,4,0,237,2873,0,0,2,15,6,0,21,1,0,0,37,7,39,1,151,10,9,256,0,460,0,0,0,660,0,0,114,0,5
"1939.122074",0,1249,218,54,58,204,2,3835,43,2362,212,1207,0,30,514,2,0,51,0,25,0,0,1,0,0,141,0,70,0,3,0,417,264,1593,2,199,847,207,283,0,3,0,144,20,5,13,0,0
"1939.122101",0,1085,213,74,33,357,1,3810,67,2180,158,978,0,36,285,0,0,39,0,18,0,0,2,0,0,191,0,55,0,4,0,477,261,1733,0,225,867,151,257,0,0,0,211,157,6,14,0,0
"1939.122058",5,230,1263,6,505,4866,0,536,1,2123,848,2300,0,0,2775,0,0,334,1325,28,5,0,4,0,0,243,0,120,3,119,118,219,2,1651,0,410,2689,78,14,0,0,0,3879,477,1,1,320,1
"1939.122079",0,0,2231,0,16,5,26,3,0,0,1,481,2,0,2278,1119,15,242,1217,0,0,0,7,1,2537,2,2,0,0,10,0,1,0,1415,4,582,41,1,139,0,2,0,61,0,0,241,0,53
"1939.122039.a",5,175,653,752,88,297,0,4679,3,948,239,942,0,14,1301,59,0,106,7,12,213,0,1,0,1322,214,0,88,116,12,0,243,126,431,2,348,2447,75,50,0,0,0,42,112,3,20,1102,179
"1939.122116.a",0,685,220,579,55,8,10,3515,3,832,62,527,1,44,434,6,0,173,1059,0,0,0,3,3,61,128,0,0,0,39,1499,370,160,337,1,27,494,41,832,0,0,0,75,0,0,23,93,36
"1939.SKBTI.0112.a",0,687,617,4851,1,0,935,17717,0,5535,235,1545,0,2272,17,1585,33,439,2746,0,0,1840,181,245,6,670,5,0,801,2,3,11,2,650,83,40,2587,2,2421,11,1858,0,3,0,0,0,7,192
"1939.122113.a",3,97,360,372,956,55,5,4230,52,3581,173,1194,0,25,500,70,0,102,448,0,68,0,1,0,0,150,1,63,20,470,1,677,372,706,0,450,706,71,206,0,0,0,1327,0,22,132,1,0
"1939.122099.a",0,16,1418,0,289,42,1680,1029,9,133,372,1817,1,2427,1000,1,0,664,160,25,0,0,16,15,0,0,0,0,0,204,1,11,37,191,5,910,675,11,2311,357,56,0,99,861,2,62,0,9
"1939.122099.b",0,0,0,0,67,0,175,2,0,0,0,1,0,225,0,2123,0,0,0,0,0,0,11,0,0,0,183,0,0,3,0,0,0,0,0,0,14,1371,201,0,10,0,0,0,0,0,1,0
"1939.122098.a",0,279,297,172,33,3,177,4094,0,4077,332,1776,0,43,479,279,0,176,160,0,322,1,3,6,0,400,0,0,0,20,875,18,19,518,0,1506,1053,0,1236,64,4,0,41,1034,4,3,0,0
"1939.122115.a",0,638,453,263,47,9,49,3749,0,3807,599,2197,0,43,1330,220,0,604,3855,0,9,46,0,3,1,419,0,0,0,146,395,8,14,355,1,727,1975,0,545,15,0,0,2676,635,16,8,1,0
"1939.122057.b",0,865,489,306,258,8,36,3533,0,2011,480,1853,1,59,783,38,0,254,2031,0,60,25,0,8,0,332,0,0,0,132,3109,10,46,486,0,1434,2218,61,193,43,1,0,447,490,5,9,0,0
"1939.122096.b",0,627,213,720,96,172,7,2880,0,1939,196,894,0,41,286,11,0,127,1596,0,142,0,1,5,0,211,0,0,0,246,4510,392,118,355,4,271,1080,42,50,14,0,0,238,254,8,6,0,0
"1939.122116.b",0,0,1,0,79,2,111,10,0,5,1,6,0,246,2,1900,0,0,2,0,0,0,6,1,0,0,155,0,0,0,5,4,0,4,5,0,16,1873,130,0,5,0,0,0,0,0,0,0
"1939.122004.b",10,0,1143,1,294,21,4,2,20,0,169,326,0,34,2725,246,1,216,0,1,0,0,16,25,0,3,1,0,5,111,0,1,4,1277,4,673,19,1,181,1,0,0,1625,0,0,706,1,0
"1939.122113.b",0,309,262,804,212,104,5,2684,0,1761,138,1097,0,31,530,28,0,165,1520,0,251,0,1,4,0,371,0,0,0,366,4504,418,74,233,0,199,1049,18,89,9,0,0,101,0,19,10,1,0
"1939.SKBTI.0244.a",24,52997,4831,12309,217,1,1447,39694,0,245,798,8420,0,961,889,10071,0,73,4,0,0,0,110,2,5,277,2,0,63,540,3,130,10871,5957,0,4006,557,1,979,13,24,0,3,0,0,73,5,6
"1939.SKBTI.0227.a",0,32,1310,721,3,92,14,26069,3,3641,205,1110,2,61,25,3073,3,29,83,0,2,6,2,115,67,188,2,2,2,14,7,133,16,19,10,665,461,0,192,7,14,1,12,0,0,332,5,159
"1939.SKBTI.0245.a",0,71,2265,66,1326,2,149,37395,0,287,147,4315,0,187,104,24850,75,895,8,0,189,2,24,43,9,4,8,0,11,272,10,20,89,320,6,353,672,0,322,20,39,0,3,1,1,2,8,21
"1939.SKBTI.0134.a",0,55,5,1333,2,0,434,54548,0,14,1,13985,156,287,64,12510,2647,146,2,0,0,29,25,0,4,2678,0,0,49,0,4,2,1,653,0,5,576,0,494,5,9,297,0,0,1,0,131,6753
"1939.SKBTI.0173.a",0,329,403,13,0,45,617,2852,0,1037,42,273,1,13852,266,18826,47,6,407,0,1,80,0,186,5,65,3,0,0,0,3,10,2,63,126,57,1508,1,821,3640,17,0,78,0,2,0,4,11
"1939.SKBTI.0287",0,616,10426,3396,1116,308,2798,165134,18,256899,1595,14030,0,11271,231,10567,8,341,47,0,1712,0,4,1,29,966,12,1,2,4153,26,14035,159,19752,14,7955,9808,5,339,164,1038,5,1181,213,5,138,42,565
"1939.SKBTI.0272.a",0,542,180,5275,1,147,66,26362,0,4321,3,1031,21,6505,6,50012,10,41,5460,0,0,36,39,493,17,153,8,0,152,2,13,77,3,120,77,32,347,0,411,3243,9970,2,27,36,24,20,392,1501
"1939.SKBTI.0265.a",0,5,39,2,0,0,1539,276,0,272,0,158,34,1014,97,13659,799,39,641,0,0,0,0,0,31,0,1,0,0,1,1,2,1,22,117,2,311,0,31,635,5307,33,0,0,0,0,1,2
"1939.SKBTI.0150.a",0,0,43,482,875,0,1,5974,0,1162,5,311,0,127,0,80,0,119,378,0,0,0,133,28,1,0,2,0,0,156,1,280,0,78,27,203,583,0,579,1,2,0,0,1,0,0,1,0
"1939.SKBTI.0256.a",0,115,59,1282,0,11,29,14568,0,4333,4,2488,0,115,76,25,0,19,300,0,0,1,0,13,4,257,5,0,262,0,3,50,31,273,0,98,2521,1,52,43,4,0,3,0,43,0,1562,484
"1939.MGH106271.b",0,2,2516,35,0,91,54,4142,0,13,1,1139,0,10,66,17007,1,6471,2,0,176,33,23,0,4,199,14,0,0,0,0,188,47,168,0,2757,117,0,683,1,6,0,22,0,1,67,1,5
"1939.MGH105239",0,884,7178,202,0,703,663,10268,0,14207,647,7487,0,1530,150,60,0,417,3,0,334,0,0,0,1,141,1,0,125,0,9617,2171,46,4190,1,1750,2408,371,4527,6,156,0,11,62,0,0,608,881
"1939.MGH104671.b",0,43,6363,33,269,1288,25,61390,0,64626,784,16039,0,965,6151,110,0,3156,1325,99,3,0,27,271,11,1331,4,0,1,44,8,3938,1024,1545,0,3596,6283,0,131,11,34,2,4,86,649,28,5,11
"1939.SKBTI.0122.a",0,17,6431,63,557,295,2182,15988,0,251,0,22881,2,53,0,168,1,7473,2,0,1,58,0,57,457,316,2,0,0,161,1,6416,2,12967,0,80,1807,2,95,2,201,0,3,0,0,0,7,7
"1939.SKBTI.0135",0,9647,2949,31,2,75,1517,137872,264,113435,66,5767,1,2452,294,15781,4,1031,20316,0,2,1,6,45,18,1583,3,0,2102,3,10,864,5,942,22,524,3249,7,226,587,88763,11,448,2,15,94,21457,6979
"1939.SKBTI.0177.a",0,275,478,1686,0,0,207,39537,46,3791,3,1432,195,4468,23,2446,5,324,3,0,1,0,14,87,9,5,3,0,0,107,59,62,5,580,48,864,744,0,507,44696,971,0,0,0,0,1,99,7
"1939.SKBTI.0181",8,94,20049,10,8,385,289,84056,97,2381,559,24890,0,458,298,6397,11,12648,19,11,1917,11,28,1,6,67,3,0,7,1,4,7075,2,2282,49,8925,1581,2,125,5,25,0,2,0,10,342,19,237
"1939.SKBTI.1345",10,1482,1590,2380,295,384,24,32131,0,3226,154,3701,2,137,1626,33,2,630,4,265,388,3,1,1,2567,587,0,4,905,54,13,792,31,1786,1,593,6088,134,28,1,6,0,101,29,92,63,4119,305
"1939.SKBTI.1346",0,7,3290,5128,7,15,2282,294,0,21,1,1269,16,747,16,1737,624,4953,295,2,4,5,1,0,12,7,4,0,1,103,5,410,0,26,18,598,2258,20,83,111,10671,73,421,1,0,11,20,8
"1939.SKBTI.1349",0,720,1041,2727,12,26,7,18985,2,6954,647,2099,2,2326,313,1424,3,325,1,10,234,0,4,10,0,576,0,0,2584,4,6,15,37,665,27,218,1091,8,151,74,6,1,18,49,14,12,3964,482
"1939.SKBTI.1350",0,878,575,1898,4,2,193,14155,7,6219,59,3620,0,27,68,522,0,12,0,0,0,3,1,2,1057,61,1,0,335,0,5,10,0,113,2,469,675,0,2,2,20,0,5,0,0,0,94,0
"1939.SKBTI.1351",0,476,331,1688,11,24,143,19968,0,3821,24,1573,5,120,716,29,0,449,215,0,0,0,0,0,30,150,0,0,266,0,37,5,495,589,11,112,1115,0,82,225,62,5,20,0,2,163,278,1
"1939.SKBTI.1354",0,2007,25,92,0,0,31,13978,9,454,1,1058,0,4,0,4609,9,2,23,0,0,21,0,0,0,8,1,0,97,0,11,0,0,17,6,8,407,0,7,1,1624,87,0,0,0,0,30,7
"1939.SKBTI.1058",3,537,565,71,70,15,137,13097,5,3307,79,1392,0,2124,264,959,3,21,2,8,0,3,0,0,0,21,0,2,0,150,0,929,1,722,4,248,339,4,56,1,1,0,20,0,0,85,0,66
"1939.SKBTI.1061",1,3813,513,4534,913,33,173,59100,5,4322,104,2983,3,4537,350,9276,22,87,988,1,541,0,0,5,2,609,6,0,2486,114,7,72,69,2150,15,721,1748,68,604,56,19,2,32,0,68,25,1974,449
"1939.SKBTI.1062",0,4134,183,3761,205,21,84,63303,3,3641,36,1423,8,4081,163,7988,19,33,656,0,356,0,0,8,2,723,1,0,2465,24,3,65,26,1167,9,517,1695,55,367,44,9,1,42,12,87,12,2261,1211
"1939.SKBTI.1063",0,174,1248,3103,4,24,7,17544,0,247,153,3117,2,351,81,411,2,55,3,0,2,13,1,0,1,9,0,0,15,2,0,8,0,448,4,1760,456,3,17,76,11,1,134,42,0,2,16,10
"1939.SKBTI.1065",0,343,2604,6281,33,15,14,34985,11,304,201,6263,5,409,159,549,3,107,2,0,2,0,1,2,0,9,0,0,7,5,0,20,0,876,4,4736,721,0,25,108,33,2,283,51,0,20,14,6
"1939.SKBTI.1072",27,41,328,106,125,5,0,4550,0,741,118,465,0,21,106,511,17,28,15,8,6,0,2,0,0,11,0,0,0,14,4,4,1,38,0,817,97,372,61,8,1,0,230,15,12,2,3,0
"1939.SKBTI.1057",1,1524,732,869,250,41,0,14416,2,1465,231,1822,0,60,317,99,0,279,112,5,0,4,0,1,0,165,0,4,232,34,1,685,74,555,2,112,487,20,16,4,0,0,1,10,12,5,725,121
"1939.SKBTI.1066",0,233,2205,2907,15,25,14,18897,8,276,169,3967,1,126,129,188,1,138,3,0,0,1,0,2,0,5,0,0,2,0,1,6,0,557,7,3921,471,1,32,40,29,0,247,9,0,9,1,0
"1939.SKBTI.1098",0,2793,827,4609,3,55,60,17431,10,2570,405,3871,5,1684,75,78,14,299,387,11,395,0,1,0,0,40,0,0,136,1,11227,53,35,2914,1,1345,845,0,21,974,29,0,194,6,10,32,645,166
"1939.SKBTI.1099",0,513,1340,16,0,17,96,16251,21,9,0,149,3,26,8,7006,1,44,1,0,0,0,5,13,0,4,0,0,0,123,0,2,0,8,21,2856,28,466,142,8,55,0,202,31,0,244,6,95
"1939.SKBTI.1116",2,931,496,1245,93,2,13,8873,10,3631,250,3521,5,873,1815,1578,2,366,2,4,186,0,0,0,0,252,0,2,254,26,0,390,67,825,0,192,563,2,17,28,0,0,0,7,18,15,1598,75
"1939.SKBTI.1117",0,12,203,44,50,1,13,339,0,204,45,207,0,4604,45,7678,3,17,0,0,2,28,0,1,0,0,0,0,6,644,1,24,0,38,5,148,49,0,15,247,23,0,49,0,0,4,57,18
"1939.SKBTI.1130",0,907,755,160,0,8,67,20074,0,4581,131,3194,0,1138,287,1649,2,170,417,0,0,0,3,7,2,5,0,0,3,1,4,152,248,1681,3,1630,1136,0,29,85,118,0,53,24,2,3,11,1
"1939.SKBTI.1138",0,218,151,1727,1,1,55,8793,0,490,2,821,46,5561,11,4246,1,67,0,0,14,0,17,19,1,28,0,0,5,0,171,0,0,69,27,410,110,0,279,116,27,0,0,1,0,0,1,61
"1939.SKBTI.1155",0,3153,880,316,7,18,2,13154,43,8636,16,1523,0,2623,226,273,0,773,5,2,1,3,0,3,1,111,15,0,0,1,0,0,0,627,0,1448,243,0,8,1,0,0,1,0,0,39,4,1
"1939.SKBTI.1165",1,1019,1024,2534,40,450,22,16391,12,3206,548,4847,0,257,1996,949,0,716,19,0,0,0,0,3,0,478,20,2,483,30,2,1236,358,2616,0,1211,1481,77,14,4,1,1,69,0,49,189,1344,660
"1939.SKBTI.1177",0,1,2055,7,90,101,305,66,0,1693,13,4296,0,1315,1291,3069,0,982,0,0,0,20,1,2,1,480,13,0,3,7,0,2390,8,987,5,146,588,0,61,0,48,1,10,0,1,222,3,0
"1939.SKBTI.1188",0,407,750,1150,24,200,10,18424,15,2424,196,1988,0,139,430,130,0,177,170,0,1,0,3,0,0,240,0,1,816,2,7,114,2,1751,2,610,664,1,38,2,13,0,6,0,13,13,2492,354
"1939.SKBTI.1174",0,5,6,3,0,0,19,8557,0,11,3,54,45,1480,1,12373,1,2,200,0,0,0,0,29,0,3,0,0,5,0,0,1,0,2,13,36,8,0,135,1158,1504,69,1,0,0,0,0,0
"1939.SKBTI.1206",0,3,14,2,36,0,229,12778,0,20,0,24,16,4608,3,364,180,2,7,0,0,0,12,41,0,0,9,0,0,18,0,5,0,17,33,6,117,17,510,17,4977,2,11,0,0,6,2,0
"1939.SKBTI.1209",0,158,121,155,13,8,12,17907,0,51,29,223,0,1483,11,2176,1,81,9,0,1,0,0,9,1,26,0,0,0,0,2,42,0,207,0,57,54,0,34,14,68,0,0,0,0,0,12,1
"1939.SKBTI.1248",4,0,315,2,0,106,7,9099,2,2590,950,3083,0,6,676,9,0,302,3,0,161,0,1,0,0,63,0,3,0,3,0,4733,39,3053,3,2427,1575,34,30,0,6,0,1,0,43,16,125,0
"1939.SKBTI.0966",0,1804,369,16,8,21,26,10580,0,705,3,1907,0,16,179,6037,1,0,0,0,34,9,0,20,0,32,0,0,0,19,1,22,0,343,10,413,207,0,64,0,14,0,27,0,0,16,19,32
"1939.SKBTI.0972",0,3234,263,1882,14,35,2,14808,2,5589,208,1718,0,34,336,79,0,138,3,84,0,12,2,15,155,44,1,0,8,0,322,433,523,770,8,415,446,15,39,8,7,0,53,15,12,0,7,52
"1939.SKBTI.0983",22,299,662,346,21,17,27,6765,0,2028,71,853,0,596,162,8095,0,76,572,15,0,0,0,12,0,359,0,0,17,774,3,505,0,495,1,181,637,470,61,68,155,1,24,0,0,22,74,25
"1939.SKBTI.0992",0,4,49,1,6,0,8,5070,0,37,2,35,130,7411,8,1737,2,4,10,0,0,0,1,449,0,0,0,0,0,10,0,6,22,25,29,18,23,0,118,1305,508,97,1,0,0,0,0,0
"1939.SKBTI.0998",0,663,99,2,0,59,44,13904,13,2726,474,2721,0,63,240,132,0,81,360,0,0,0,0,0,1,17,0,0,1,0,0,11,1376,1968,0,36,545,2,5,0,9,0,0,0,7,9,0,61
"1939.SKBTI.1229",7,1464,461,51,77,5157,94,27764,18,643,152,2929,0,3615,1121,1206,779,200,1,1,431,2,12,5,1,324,1,2,0,1922,42,489,350,404,19,349,2808,18,620,8,68,1,8,0,64,537,3,173
"1939.SKBTI.0971",0,3237,984,32,13,14,6,20174,20,3238,3,5000,0,68,492,10457,3,5,2,0,121,0,0,0,1,181,0,0,3,42,4,22,1,1399,0,868,184,3,3,2,4,4,10,0,18,14,4,145
